Gemeindename,Score,Total Anzahl Dossiers,Total Sozialhilfequote,Total Sozialhilfequote Schweizer,Total Sozialhilfequote Ausländer,Alter 0-17,Alter 18-64,Alter 65+,obligatorische Schule,sekundarstufe I,tertiärstufe,Personenschaden absolut mit Personenschaden,Personenschaden pro 1000 Einwohner,Durchschnitt Anzahl 2017-2021,davon getötete Personen,davon verletze Personen,Lenker/innen,Mitfahrer/innen,Fussgänger/innen,Fahrzeugähnliche Geräte,Rank,Longitude,Latitude,Distanz zu nächsten Prontoshop in km,Median Einkommen,Ergänzungsleistungen in % zu Median,Einkommen aus Vermögenserträgen,Frei verfügbares Einkommen,20000,100000,1000000,Total Aktiven,Finanzvermögen¹,Verwaltungsvermögen,Total Passiven,Fremdkapital,Eigenkapital,Spezielfinanzierung EK,Fond im EK,Aufwertungsreserven,überiges Eigentkapital,Bilanzüberschuss
Meggen,1.8674806967139523,31.0,0.5,0.3,1.5,0.6,0.7,0.0,0.0,0.8,0.2,9,1.2,7.0,0,10,10,0,0,0,37.0,8.372,47.046,2.268612704288738,129383.0,1.5,4.4,49795.0,1.0860925,9.251096000000002,13.442529115,173328711,80624092,92704618,173328711,66267064,107061646,10431646,10170584,39298439,0,47160977
Meierskappel,0.3232178128927994,7.0,0.7,0.4,2.6,1.2,0.8,0.0,0.0,0.0,0.0,1,0.6,1.0,0,1,0,1,0,0,7.0,8.443,47.125,2.6248071264789696,124687.0,1.7,4.6,42364.0,1.5415,14.2628,20.20764,22780153,12925979,9854173,22780153,7473891,15306261,3715870,24000,0,0,11566391
Menznau,2.316394325731729,23.0,1.5,1.2,4.0,2.6,1.4,0.4,0.0,0.8,0.0,13,4.3,7.0,0,18,15,3,0,0,42.0,8.039,47.084,3.6594438323838627,93306.0,3.7,0.0,29924.0,1.6645,15.616400000000002,20.20764,34851171,10458402,24392770,34851171,10908650,23942521,10244137,8100,0,0,13690284
Nebikon,1.4544801580175974,20.0,1.9,1.3,3.3,4.0,1.6,0.3,0.0,0.7,0.0,5,1.8,5.0,0,5,5,0,0,0,30.0,7.975,47.191,2.2070578674415917,100436.0,2.5,0.0,32818.0,1.427725,13.01072,18.93318555,31731609,10878663,20852947,31731609,15965015,15766594,10321473,11550,2254429,0,3179141
Neuenkirch,4.130005386963549,37.0,1.1,0.4,6.2,2.1,1.0,0.0,1.6,0.7,0.1,19,2.6,15.0,0,22,19,3,0,0,55.0,8.204,47.1,3.6862817657796545,110867.0,2.1,1.0,35065.0,1.4554,13.31528,19.3779732,86077514,27163631,58913883,86077514,44507798,41569715,14006362,499139,3701124,0,23363091
Nottwil,1.382653977374753,20.0,0.9,0.4,4.6,1.6,0.9,0.0,0.0,0.6,0.1,5,1.2,5.0,0,7,5,2,0,0,29.0,8.134,47.134,4.405504499474272,111955.0,2.4,0.7,36017.0,1.4430999999999998,13.17992,19.1802898,63405593,21304903,42100690,63405593,39525909,23879685,7375195,45043,2338045,0,14121401
Oberkirch,1.9752199676782187,30.0,1.1,0.3,7.2,1.9,1.0,0.1,0.0,0.3,0.1,8,1.6,8.0,1,8,7,1,1,0,39.0,8.115,47.159,1.7078370070986753,119606.0,1.8,1.6,40951.0,1.310875,11.7248,17.055193250000002,64682920,29293540,35389379,64682920,39742271,24940649,4262790,1548328,2259445,0,16870085
Pfaffnau,1.83156760639253,39.0,2.0,1.8,3.2,3.0,2.2,0.0,0.0,0.0,0.0,7,2.6,7.0,1,6,6,0,1,0,36.0,7.898,47.229,6.898002072928938,94985.0,2.7,0.0,33555.0,1.4646249999999998,13.4168,19.52623575,23091001,9711521,13379480,23091001,11088592,12002409,3684221,92039,4155153,0,4070996
Reiden,4.830310648231281,66.0,1.7,0.8,4.1,3.4,1.5,0.1,2.5,0.6,0.0,17,2.3,15.0,1,20,18,1,2,0,57.0,7.972,47.244,3.934850442501203,88881.0,3.5,0.0,29738.0,1.556875,14.432,20.20764,80544934,26847043,53697891,80544934,58101205,22443729,3938980,157215,0,0,18347534
Rickenbach,2.5498294128209733,51.0,2.2,1.2,6.4,2.8,2.4,0.4,0.0,1.6,0.1,8,2.3,5.0,0,11,9,2,0,0,45.0,8.153,47.22,6.451206673564084,97952.0,3.3,1.0,31134.0,1.526125,14.0936,20.20764,46142157,14836289,31305868,46142157,18030974,28111184,9034184,45021,6933183,0,12098795
